Date,Type,Link
2023-09-13 17:15:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107609392337870848
2023-09-13 16:46:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7107594454902947840
2023-09-13 16:45:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107627675413852160
2023-09-13 16:45:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107739639288885248
2023-09-13 05:19:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107349874253139969
2023-09-13 05:18:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107381652502306816
2023-09-12 11:31:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107271258886565888
2023-09-12 11:29:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7107309520170721281
2023-09-12 07:14:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107252819191070720
2023-09-12 07:14:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107254662168231937
2023-09-12 06:17:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107059886273761280
2023-09-11 15:47:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107014469242806272
2023-09-11 09:01:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106898134869393409
2023-09-11 08:58:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7106819938304049152
2023-09-10 17:27:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106683912449384448
2023-09-10 12:29:22,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105383371698020354
2023-09-10 12:24:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7106261099171241984
2023-09-10 04:56:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7106326403909849088
2023-09-09 17:13:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7106116509155962880
2023-09-09 17:13:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7106286032291020800
